Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption,Hour,Day,Month,Weekday,Is_Weekend,Year,Is_Summer,Is_Day,Apartment_Type_Encode,Income_Level_Encoded,Amenities_Encoded
01/01/2002 00,1,Studio,15.31,46.61,1.06,0.97,Low,0,Swimming Pool,0.0,64.85,0,1,1,1,0,2002,0,0,6,0.0,4.0
01/01/2002 08,4,2BHK,21.01,66.11,2.98,0.91,Upper Middle,1,Swimming Pool,1.0,192.5,8,1,1,1,0,2002,0,1,1,2.0,4.0
01/01/2002 16,2,Cottage,12.86,60.86,1.44,1.43,Middle,0,Unknown,1.0,116.62,16,1,1,1,0,2002,0,1,4,1.0,0.0
02/01/2002 00,2,1BHK,20.16,50.58,1.48,0.91,Middle,0,Garden,0.0,76.96,0,2,1,2,0,2002,0,0,0,1.0,1.0
02/01/2002 08,2,Cottage,16.23,52.25,1.14,1.11,Middle,0,Fountain,0.0,104.7,8,2,1,2,0,2002,0,1,4,1.0,2.0
02/01/2002 16,4,2BHK,22.23,53.86,1.15,1.46,Middle,0,Unknown,1.0,218.23,16,2,1,2,0,2002,0,1,1,1.0,0.0
03/01/2002 00,3,2BHK,10.83,57.51,2.98,1.07,Upper Middle,0,Swimming Pool,0.0,135.8,0,3,1,3,0,2002,0,0,1,2.0,4.0
03/01/2002 08,3,Cottage,30.37,33.88,1.35,1.4,Middle,0,Fountain,0.0,202.29,8,3,1,3,0,2002,0,1,4,1.0,2.0
03/01/2002 16,4,Bungalow,16.57,57.94,2.84,1.47,Upper Middle,0,Garden,0.0,188.04,16,3,1,3,0,2002,0,1,3,2.0,1.0
04/01/2002 00,2,1BHK,22.59,57.25,1.11,0.99,Low,1,Unknown,1.0,88.94,0,4,1,4,0,2002,0,0,0,0.0,0.0
04/01/2002 08,3,2BHK,25.5,63.72,1.14,0.23,Middle,0,Unknown,1.0,91.71,8,4,1,4,0,2002,0,1,1,1.0,0.0
04/01/2002 16,3,1BHK,30.7,62.17,1.07,0.91,Middle,0,Garden,0.0,96.72,16,4,1,4,0,2002,0,1,0,1.0,1.0
05/01/2002 00,2,Cottage,29.6,30.7,1.66,1.3,Middle,1,Unknown,0.0,152.87,0,5,1,5,1,2002,0,0,4,1.0,0.0
05/01/2002 08,1,Studio,14.5,70.0,1.56,1.14,Low,1,Swimming Pool,0.0,75.05,8,5,1,5,1,2002,0,1,6,0.0,4.0
05/01/2002 16,5,2BHK,17.34,49.39,1.11,1.23,Middle,1,Unknown,0.0,219.84,16,5,1,5,1,2002,0,1,1,1.0,0.0
06/01/2002 00,3,1BHK,18.55,61.02,1.73,1.41,Low,1,Unknown,0.0,136.38,0,6,1,6,1,2002,0,0,0,0.0,0.0
06/01/2002 08,4,2BHK,26.04,52.99,1.09,1.36,Middle,1,Unknown,0.0,220.55,8,6,1,6,1,2002,0,1,1,1.0,0.0
06/01/2002 16,4,2BHK,28.03,48.72,1.55,1.33,Middle,0,Unknown,1.0,210.84,16,6,1,6,1,2002,0,1,1,1.0,0.0
07/01/2002 00,5,3BHK,18.41,48.28,2.94,1.35,Rich,1,Swimming Pool,0.0,409.67,0,7,1,0,0,2002,0,0,2,3.0,4.0
07/01/2002 08,3,3BHK,28.22,76.93,2.33,0.98,Rich,0,Fountain,0.0,152.83,8,7,1,0,0,2002,0,1,2,3.0,2.0
07/01/2002 16,3,Bungalow,16.93,45.3,1.81,1.05,Upper Middle,1,Swimming Pool,0.0,195.02,16,7,1,0,0,2002,0,1,3,2.0,4.0
08/01/2002 00,4,2BHK,20.75,59.79,2.23,0.93,Upper Middle,1,Unknown,0.0,143.08,0,8,1,1,0,2002,0,0,1,2.0,0.0
08/01/2002 08,1,Studio,14.68,41.82,1.33,1.03,Low,0,Swimming Pool,0.0,69.13,8,8,1,1,0,2002,0,1,6,0.0,4.0
08/01/2002 16,4,2BHK,28.79,73.04,2.03,1.31,Upper Middle,0,Unknown,0.0,163.73,16,8,1,1,0,2002,0,1,1,2.0,0.0
09/01/2002 00,3,1BHK,20.94,39.57,1.51,1.36,Low,1,Garden,0.0,164.23,0,9,1,2,0,2002,0,0,0,0.0,1.0
09/01/2002 08,3,3BHK,17.86,55.42,2.5,1.25,Rich,0,Unknown,0.0,173.07,8,9,1,2,0,2002,0,1,2,3.0,0.0
09/01/2002 16,4,2BHK,27.01,43.57,2.27,0.8,Upper Middle,0,Fountain,0.0,144.6,16,9,1,2,0,2002,0,1,1,2.0,2.0
10/01/2002 00,3,2BHK,22.24,43.24,1.79,1.2,Middle,0,Swimming Pool,1.0,205.6,0,10,1,3,0,2002,0,0,1,1.0,4.0
10/01/2002 08,3,1BHK,12.71,55.74,1.33,1.23,Middle,0,Unknown,0.0,110.66,8,10,1,3,0,2002,0,1,0,1.0,0.0
10/01/2002 16,4,Detached,16.4,55.73,2.19,1.3,Rich,0,Unknown,0.0,213.5,16,10,1,3,0,2002,0,1,5,3.0,0.0
11/01/2002 00,4,3BHK,21.73,44.83,1.67,1.19,Upper Middle,1,Unknown,0.0,228.76,0,11,1,4,0,2002,0,0,2,2.0,0.0
11/01/2002 08,1,Studio,25.32,61.95,1.38,1.35,Low,0,Unknown,1.0,76.62,8,11,1,4,0,2002,0,1,6,0.0,0.0
11/01/2002 16,3,Bungalow,17.29,55.64,2.09,1.48,Upper Middle,0,Swimming Pool,0.0,209.99,16,11,1,4,0,2002,0,1,3,2.0,4.0
12/01/2002 00,2,1BHK,10.92,54.22,1.29,0.7,Middle,0,Unknown,0.0,100.12,0,12,1,5,1,2002,0,0,0,1.0,0.0
12/01/2002 08,5,Bungalow,15.98,62.72,1.7,1.05,Rich,0,Garden,0.0,187.01,8,12,1,5,1,2002,0,1,3,3.0,1.0
12/01/2002 16,5,2BHK,17.77,47.88,1.21,1.11,Middle,0,Fountain,0.0,200.5,16,12,1,5,1,2002,0,1,1,1.0,2.0
13/01/2002 00,5,Bungalow,24.27,60.18,2.39,1.06,Upper Middle,1,Jacuzzi,1.0,284.16,0,13,1,6,1,2002,0,0,3,2.0,3.0
13/01/2002 08,3,Cottage,23.78,42.78,1.71,1.49,Middle,1,Jacuzzi,0.0,236.31,8,13,1,6,1,2002,0,1,4,1.0,3.0
13/01/2002 16,3,Detached,16.53,48.87,2.32,1.43,Rich,1,Unknown,0.0,249.25,16,13,1,6,1,2002,0,1,5,3.0,0.0
14/01/2002 00,4,3BHK,20.68,51.72,2.14,0.88,Upper Middle,0,Garden,0.0,137.08,0,14,1,0,0,2002,0,0,2,2.0,1.0
14/01/2002 08,3,1BHK,20.65,43.42,1.56,0.92,Low,0,Garden,0.0,89.85,8,14,1,0,0,2002,0,1,0,0.0,1.0
14/01/2002 16,3,Cottage,11.33,43.03,1.08,1.13,Middle,1,Fountain,0.0,132.7,16,14,1,0,0,2002,0,1,4,1.0,2.0
15/01/2002 00,3,1BHK,32.08,57.74,1.7601349325337332,1.07,Middle,0,Swimming Pool,0.0,146.32,0,15,1,1,0,2002,0,0,0,1.0,4.0
15/01/2002 08,4,Bungalow,11.12,35.54,2.18,0.14,Upper Middle,0,Unknown,0.0,112.7,8,15,1,1,0,2002,0,1,3,2.0,0.0
15/01/2002 16,3,1BHK,32.88,55.81,1.71,1.43,Middle,1,Unknown,1.0,206.36,16,15,1,1,0,2002,0,1,0,1.0,0.0
16/01/2002 00,1,Studio,25.63,59.3,1.42,1.05,Low,0,Unknown,1.0,60.88,0,16,1,2,0,2002,0,0,6,0.0,0.0
16/01/2002 08,3,Cottage,12.7,59.92,1.22,1.18,Middle,1,Jacuzzi,0.0,155.42,8,16,1,2,0,2002,0,1,4,1.0,3.0
16/01/2002 16,3,2BHK,20.55,59.49,2.99,1.16,Upper Middle,0,Unknown,0.0,121.11,16,16,1,2,0,2002,0,1,1,2.0,0.0
17/01/2002 00,5,2BHK,26.28,57.79,1.63,0.82,Middle,0,Unknown,0.0,120.55,0,17,1,3,0,2002,0,0,1,1.0,0.0
17/01/2002 08,3,Bungalow,10.18,48.38,2.93,1.36,Upper Middle,0,Jacuzzi,0.0,175.97,8,17,1,3,0,2002,0,1,3,2.0,3.0
17/01/2002 16,2,Cottage,19.89,59.13,1.17,1.28,Middle,1,Garden,0.0,124.49,16,17,1,3,0,2002,0,1,4,1.0,1.0
18/01/2002 00,2,1BHK,19.21,49.78,1.35,1.47,Low,0,Unknown,0.0,107.52,0,18,1,4,0,2002,0,0,0,0.0,0.0
